qid,class,system,passed,iterations,total_tokens,latency_s,cost_usd
Q01,simple_clause_lookup,agent,False,1,0,235.322,0.0
Q01,simple_clause_lookup,workflow,False,1,0,0,0
Q02,amendment_override,agent,False,1,0,233.584,0.0
Q02,amendment_override,workflow,True,1,0,0,0
Q03,definition_lookup,agent,False,1,0,234.285,0.0
Q03,definition_lookup,workflow,False,1,0,0,0
Q04,defined_term_chase_DEP,agent,False,1,0,233.647,0.0
Q04,defined_term_chase_DEP,workflow,False,1,0,0,0
Q05,date_lookup,agent,False,1,0,233.713,0.0
Q05,date_lookup,workflow,False,1,0,0,0
Q06,date_computation_DEP,agent,False,1,0,233.66,0.0
Q06,date_computation_DEP,workflow,False,1,0,0,0
Q07,defined_term_schedule_chase_DEP,agent,False,1,0,233.712,0.0
Q07,defined_term_schedule_chase_DEP,workflow,False,1,0,0,0
Q08,version_comparison,agent,False,1,0,233.655,0.0
Q08,version_comparison,workflow,False,1,0,0,0
Q09,clause_with_definition,agent,True,1,0,233.393,0.0
Q09,clause_with_definition,workflow,True,1,0,0,0
Q10,amendment_tracking,agent,False,1,0,233.675,0.0
Q10,amendment_tracking,workflow,False,1,0,0,0
